Sequela Name,Health State Name,Health State Lay Description,Mean,Lower,Upper
Controlled phase of other eye cancers,Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,0.049011415,0.031121342,0.072092547
Diagnosis and primary therapy phase of neuroblastoma and other peripheral nervous cell tumors,"Cancer, diagnosis and primary therapy ","has pain, nausea, fatigue, weight loss and high anxiety.",0.28750118,0.19259089,0.39893967
Metastatic phase of neuroblastoma and other peripheral nervous cell tumors,"Cancer, metastatic","has severe pain, extreme fatigue, weight loss and high anxiety.",0.451361117,0.30716694,0.600299833
Terminal phase of neuroblastoma and other peripheral nervous cell tumors,"Terminal phase, with medication (for cancers, end-stage kidney/liver disease)","has lost a lot of weight and regularly uses strong medication to avoid constant pain. The person has no appetite, feels nauseous, and needs to spend most of the day in bed.",0.539560492,0.376695833,0.68709527
Controlled phase of neuroblastoma and other peripheral nervous cell tumors,Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,0.049011415,0.031121342,0.072092547
Diagnosis and primary therapy phase of thyroid cancer,"Cancer, diagnosis and primary therapy ","has pain, nausea, fatigue, weight loss and high anxiety.",0.28750118,0.19259089,0.39893967
Metastatic phase of thyroid cancer,"Cancer, metastatic","has severe pain, extreme fatigue, weight loss and high anxiety.",0.451361117,0.30716694,0.600299833
Terminal phase of thyroid cancer,"Terminal phase, with medication (for cancers, end-stage kidney/liver disease)","has lost a lot of weight and regularly uses strong medication to avoid constant pain. The person has no appetite, feels nauseous, and needs to spend most of the day in bed.",0.539560492,0.376695833,0.68709527
Controlled phase of thyroid cancer,Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,0.049011415,0.031121342,0.072092547
Diagnosis and primary therapy phase of mesothelioma,"Cancer, diagnosis and primary therapy ","has pain, nausea, fatigue, weight loss and high anxiety.",0.28750118,0.19259089,0.39893967
Metastatic phase of mesothelioma,"Cancer, metastatic","has severe pain, extreme fatigue, weight loss and high anxiety.",0.451361117,0.30716694,0.600299833
Terminal phase of mesothelioma,"Terminal phase, with medication (for cancers, end-stage kidney/liver disease)","has lost a lot of weight and regularly uses strong medication to avoid constant pain. The person has no appetite, feels nauseous, and needs to spend most of the day in bed.",0.539560492,0.376695833,0.68709527
Controlled phase of mesothelioma,Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,0.049011415,0.031121342,0.072092547
Diagnosis and primary therapy phase of Hodgkin disease,"Cancer, diagnosis and primary therapy ","has pain, nausea, fatigue, weight loss and high anxiety.",0.28750118,0.19259089,0.39893967
Metastatic phase of Hodgkin disease,"Cancer, metastatic","has severe pain, extreme fatigue, weight loss and high anxiety.",0.451361117,0.30716694,0.600299833
Terminal phase of Hodgkin disease,"Terminal phase, with medication (for cancers, end-stage kidney/liver disease)","has lost a lot of weight and regularly uses strong medication to avoid constant pain. The person has no appetite, feels nauseous, and needs to spend most of the day in bed.",0.539560492,0.376695833,0.68709527
Controlled phase of Hodgkin disease,Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,0.049011415,0.031121342,0.072092547
Diagnosis and primary therapy phase of Burkitt lymphoma,"Cancer, diagnosis and primary therapy ","has pain, nausea, fatigue, weight loss and high anxiety.",0.28750118,0.19259089,0.39893967
Metastatic phase of Burkitt lymphoma,"Cancer, metastatic","has severe pain, extreme fatigue, weight loss and high anxiety.",0.451361117,0.30716694,0.600299833
Terminal phase of Burkitt lymphoma,"Terminal phase, with medication (for cancers, end-stage kidney/liver disease)","has lost a lot of weight and regularly uses strong medication to avoid constant pain. The person has no appetite, feels nauseous, and needs to spend most of the day in bed.",0.539560492,0.376695833,0.68709527
Controlled phase of Burkitt lymphoma,Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,0.049011415,0.031121342,0.072092547
Diagnosis and primary therapy phase of other non-Hodgkin lymphoma,"Cancer, diagnosis and primary therapy ","has pain, nausea, fatigue, weight loss and high anxiety.",0.28750118,0.19259089,0.39893967
Metastatic phase of other non-Hodgkin lymphoma,"Cancer, metastatic","has severe pain, extreme fatigue, weight loss and high anxiety.",0.451361117,0.30716694,0.600299833
Terminal phase of other non-Hodgkin lymphoma,"Terminal phase, with medication (for cancers, end-stage kidney/liver disease)","has lost a lot of weight and regularly uses strong medication to avoid constant pain. The person has no appetite, feels nauseous, and needs to spend most of the day in bed.",0.539560492,0.376695833,0.68709527
Controlled phase of other non-Hodgkin lymphoma,Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,0.049011415,0.031121342,0.072092547
Diagnosis and primary therapy phase of multiple myeloma,"Cancer, diagnosis and primary therapy ","has pain, nausea, fatigue, weight loss and high anxiety.",0.28750118,0.19259089,0.39893967
Metastatic phase of multiple myeloma,"Cancer, metastatic","has severe pain, extreme fatigue, weight loss and high anxiety.",0.451361117,0.30716694,0.600299833
Terminal phase of multiple myeloma,"Terminal phase, with medication (for cancers, end-stage kidney/liver disease)","has lost a lot of weight and regularly uses strong medication to avoid constant pain. The person has no appetite, feels nauseous, and needs to spend most of the day in bed.",0.539560492,0.376695833,0.68709527
Controlled phase of multiple myeloma,Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,0.049011415,0.031121342,0.072092547
Diagnosis and primary therapy phase of acute lymphoid leukemia,"Cancer, diagnosis and primary therapy ","has pain, nausea, fatigue, weight loss and high anxiety.",0.28750118,0.19259089,0.39893967
Metastatic phase of acute lymphoid leukemia,"Cancer, metastatic","has severe pain, extreme fatigue, weight loss and high anxiety.",0.451361117,0.30716694,0.600299833
Terminal phase of acute lymphoid leukemia,"Terminal phase, with medication (for cancers, end-stage kidney/liver disease)","has lost a lot of weight and regularly uses strong medication to avoid constant pain. The person has no appetite, feels nauseous, and needs to spend most of the day in bed.",0.539560492,0.376695833,0.68709527
Controlled phase of acute lymphoid leukemia,Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,0.049011415,0.031121342,0.072092547
Diagnosis and primary therapy phase of chronic lymphoid leukemia,"Cancer, diagnosis and primary therapy ","has pain, nausea, fatigue, weight loss and high anxiety.",0.28750118,0.19259089,0.39893967
Metastatic phase of chronic lymphoid leukemia,"Cancer, metastatic","has severe pain, extreme fatigue, weight loss and high anxiety.",0.451361117,0.30716694,0.600299833
Terminal phase of chronic lymphoid leukemia,"Terminal phase, with medication (for cancers, end-stage kidney/liver disease)","has lost a lot of weight and regularly uses strong medication to avoid constant pain. The person has no appetite, feels nauseous, and needs to spend most of the day in bed.",0.539560492,0.376695833,0.68709527
Controlled phase of chronic lymphoid leukemia,Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,0.049011415,0.031121342,0.072092547
Diagnosis and primary therapy phase of acute myeloid leukemia,"Cancer, diagnosis and primary therapy ","has pain, nausea, fatigue, weight loss and high anxiety.",0.28750118,0.19259089,0.39893967
Metastatic phase of acute myeloid leukemia,"Cancer, metastatic","has severe pain, extreme fatigue, weight loss and high anxiety.",0.451361117,0.30716694,0.600299833
Terminal phase of acute myeloid leukemia,"Terminal phase, with medication (for cancers, end-stage kidney/liver disease)","has lost a lot of weight and regularly uses strong medication to avoid constant pain. The person has no appetite, feels nauseous, and needs to spend most of the day in bed.",0.539560492,0.376695833,0.68709527
Controlled phase of acute myeloid leukemia,Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,0.049011415,0.031121342,0.072092547
Diagnosis and primary therapy phase of chronic myeloid leukemia,"Cancer, diagnosis and primary therapy ","has pain, nausea, fatigue, weight loss and high anxiety.",0.28750118,0.19259089,0.39893967
Metastatic phase of chronic myeloid leukemia,"Cancer, metastatic","has severe pain, extreme fatigue, weight loss and high anxiety.",0.451361117,0.30716694,0.600299833
Terminal phase of chronic myeloid leukemia,"Terminal phase, with medication (for cancers, end-stage kidney/liver disease)","has lost a lot of weight and regularly uses strong medication to avoid constant pain. The person has no appetite, feels nauseous, and needs to spend most of the day in bed.",0.539560492,0.376695833,0.68709527
Controlled phase of chronic myeloid leukemia,Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,0.049011415,0.031121342,0.072092547
Diagnosis and primary therapy phase of other leukemia,"Cancer, diagnosis and primary therapy ","has pain, nausea, fatigue, weight loss and high anxiety.",0.28750118,0.19259089,0.39893967
Metastatic phase of other leukemia,"Cancer, metastatic","has severe pain, extreme fatigue, weight loss and high anxiety.",0.451361117,0.30716694,0.600299833
Terminal phase of other leukemia,"Terminal phase, with medication (for cancers, end-stage kidney/liver disease)","has lost a lot of weight and regularly uses strong medication to avoid constant pain. The person has no appetite, feels nauseous, and needs to spend most of the day in bed.",0.539560492,0.376695833,0.68709527
Controlled phase of other leukemia,Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,0.049011415,0.031121342,0.072092547
Diagnosis and primary therapy phase of other malignant neoplasms,"Cancer, diagnosis and primary therapy ","has pain, nausea, fatigue, weight loss and high anxiety.",0.28750118,0.19259089,0.39893967
Metastatic phase of other malignant neoplasms,"Cancer, metastatic","has severe pain, extreme fatigue, weight loss and high anxiety.",0.451361117,0.30716694,0.600299833
Terminal phase of other malignant neoplasms,"Terminal phase, with medication (for cancers, end-stage kidney/liver disease)","has lost a lot of weight and regularly uses strong medication to avoid constant pain. The person has no appetite, feels nauseous, and needs to spend most of the day in bed.",0.539560492,0.376695833,0.68709527
Controlled phase of other malignant neoplasms,Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,0.049011415,0.031121342,0.072092547
"Myelodysplastic, myeloproliferative, and other hematopoietic neoplasms",Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,0.049011415,0.031121342,0.072092547
Benign and in situ intestinal neoplasms,Asymptomatic,,0,0,0
Benign and in situ cervical and uterine neoplasms,Asymptomatic,,0,0,0
Other benign and in situ neoplasms,Asymptomatic,,0,0,0
"Rheumatic heart disease, without heart failure ",Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,0.049011415,0.031121342,0.072092547
Mild heart failure due to rheumatic heart disease,"Heart failure, mild","is short of breath and easily tires with moderate physical activity, such as walking uphill or more than a quarter-mile on level ground. The person feels comfortable at rest or during activities requiring less effort.",0.041451894,0.026103223,0.062339545
Moderate heart failure due to rheumatic heart disease,"Heart failure, moderate","is short of breath and easily tires with minimal physical activity, such as walking only a short distance. The person feels comfortable at rest but avoids moderate activity.",0.071653433,0.046600778,0.10308943
Severe heart failure due to rheumatic heart disease,"Heart failure, severe","is short of breath and feels tired when at rest. The person avoids any physical activity, for fear of worsening the breathing problems. ",0.179066696,0.1215548,0.250729157
"Controlled, medically managed heart failure due to rheumatic heart disease",Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,0.049011415,0.031121342,0.072092547
Asymptomatic ischemic heart disease following myocardial infarction,Asymptomatic,,0,0,0
Mild angina due to ischemic heart disease,"Angina pectoris, mild","has chest pain that occurs with strenuous physical activity, such as running or lifting heavy objects. After a brief rest, the pain goes away.",0.033191743,0.02041137,0.0517855
Moderate angina due to ischemic heart disease,"Angina pectoris, moderate","has chest pain that occurs with moderate physical activity, such as walking uphill or more than half a kilometer (around a quarter-mile) on level ground. After a brief rest, the pain goes away.",0.079503996,0.051910618,0.112882595
Severe angina due to ischemic heart disease,"Angina pectoris, severe","has chest pain that occurs with minimal physical activity, such as walking only a short distance. After a brief rest, the pain goes away. The person avoids most physical activities because of the pain.",0.166882662,0.109984033,0.23953091
Asymptomatic angina due to ischemic heart disease,Asymptomatic,,0,0,0
Mild heart failure due to ischemic heart disease,"Heart failure, mild","is short of breath and easily tires with moderate physical activity, such as walking uphill or more than a quarter-mile on level ground. The person feels comfortable at rest or during activities requiring less effort.",0.041451894,0.026103223,0.062339545
Moderate heart failure due to ischemic heart disease,"Heart failure, moderate","is short of breath and easily tires with minimal physical activity, such as walking only a short distance. The person feels comfortable at rest but avoids moderate activity.",0.071653433,0.046600778,0.10308943
Severe heart failure due to ischemic heart disease,"Heart failure, severe","is short of breath and feels tired when at rest. The person avoids any physical activity, for fear of worsening the breathing problems. ",0.179066696,0.1215548,0.250729157
"Controlled, medically managed heart failure due ischemic heart disease",Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,0.049011415,0.031121342,0.072092547
Acute myocardial infarction first 2 days,"Acute myocardial infarction, days 1-2","has severe chest pain that becomes worse with any physical activity,. The person feels nauseous, short of breath, and very anxious.",0.432270216,0.28814892,0.579097445
Acute myocardial infarction 3 to 28 days,"Acute myocardial infarction, days 3-28","gets short of breath after heavy physical activity, and tires easily, but has no problems when at rest. The person has to take medication every day and has some anxiety.",0.074100215,0.048690888,0.10531088
Acute ischemic stroke severity level 1,"Stroke, long-term consequences, mild","has some difficulty in moving around and some weakness in one hand, but is able to walk without help.",0.019010281,0.010070085,0.03225334
"Acute ischemic stroke severity level 2, without heart failure","Stroke, long-term consequences, moderate","has some difficulty in moving around, and in using the hands for lifting and holding things, dressing and grooming.",0.070059835,0.046415625,0.099395025
"Acute ischemic stroke severity level 2, with asymptomatic heart failure","Stroke, long-term consequences, moderate and Generic uncomplicated disease: worry and daily medication",(combined DW),0.115506997,0.076176284,0.163822522
"Acute ischemic stroke severity level 2, with mild heart failure","Stroke, long-term consequences, moderate; Heart failure, mild",(combined DW),0.108495389,0.07351929,0.154020471
"Acute ischemic stroke severity level 2, with moderate heart failure","Stroke, long-term consequences, moderate; Heart failure, moderate",(combined DW),0.136512897,0.091287636,0.19065365
"Acute ischemic stroke severity level 2, with severe heart failure","Stroke, long-term consequences, moderate; Heart failure, severe",(combined DW),0.236222262,0.165268247,0.319384083
"Acute ischemic stroke severity level 3, without heart failure","Stroke, long-term consequences, moderate plus cognition problems","has some difficulty in moving around, in using the hands for lifting and holding things, dressing and grooming, and in speaking. The person is often forgetful and confused.",0.316344303,0.205675055,0.437349273
"Acute ischemic stroke severity level 3, with asymptomatic heart failure","Stroke, long-term consequences, moderate plus cognition problems and Generic uncomplicated disease: worry and daily medication",(combined DW),0.349592098,0.240566178,0.470131326
"Acute ischemic stroke severity level 3, with mild heart failure","Stroke, long-term consequences, moderate plus cognition problems; Heart failure, mild",(combined DW),0.34449131,0.237496538,0.46443069
"Acute ischemic stroke severity level 3, with moderate heart failure","Stroke, long-term consequences, moderate plus cognition problems; Heart failure, moderate",(combined DW),0.364816373,0.253180126,0.486668306
"Acute ischemic stroke severity level 3, with severe heart failure","Stroke, long-term consequences, moderate plus cognition problems; Heart failure, severe",(combined DW),0.437017027,0.308249007,0.575263106
"Acute ischemic stroke severity level 4, without heart failure","Stroke, long-term consequences, severe","is confined to bed or a wheelchair, has difficulty speaking and depends on others for feeding, toileting and dressing.",0.552001393,0.376783112,0.70691959
"Acute ischemic stroke severity level 4, with asymptomatic heart failure","Stroke, long-term consequences, severe and Generic uncomplicated disease: worry and daily medication",(combined DW),0.573753266,0.40780612,0.721438062
"Acute ischemic stroke severity level 4, with mild heart failure","Stroke, long-term consequences, severe; Heart failure, mild",(combined DW),0.570452212,0.403498752,0.720403291
"Acute ischemic stroke severity level 4, with moderate heart failure","Stroke, long-term consequences, severe; Heart failure, moderate",(combined DW),0.583555824,0.417199501,0.732366168
"Acute ischemic stroke severity level 4, with severe heart failure","Stroke, long-term consequences, severe; Heart failure, severe",(combined DW),0.629891661,0.45832308,0.77673933
"Acute ischemic stroke severity level 5, without heart failure","Stroke, long-term consequences, severe plus cognition problems","is confined to bed or a wheelchair, depends on others for feeding, toileting and dressing, and has difficulty speaking, thinking clearly and remembering things.",0.587545834,0.410997978,0.744434173
"Acute ischemic stroke severity level 5, with asymptomatic heart failure","Stroke, long-term consequences, severe plus cognition problems and Generic uncomplicated disease: worry and daily medication",(combined DW),0.607570014,0.438287866,0.759340487
"Acute ischemic stroke severity level 5, with mild heart failure","Stroke, long-term consequences, severe plus cognition problems; Heart failure, mild",(combined DW),0.604535788,0.436258183,0.758091554
"Acute ischemic stroke severity level 5, with moderate heart failure","Stroke, long-term consequences, severe plus cognition problems; Heart failure, moderate",(combined DW),0.616569518,0.447985946,0.768193527
"Acute ischemic stroke severity level 5, with severe heart failure","Stroke, long-term consequences, severe plus cognition problems; Heart failure, severe",(combined DW),0.65906097,0.488540454,0.808053423
Asymptomatic chronic ischemic stroke,Asymptomatic,,0,0,0
Chronic ischemic stroke severity level 1,"Stroke, long-term consequences, mild","has some difficulty in moving around and some weakness in one hand, but is able to walk without help.",0.019010281,0.010070085,0.03225334
Acute intracerebral hemorrhage severity level 1,"Stroke, long-term consequences, mild","has some difficulty in moving around and some weakness in one hand, but is able to walk without help.",0.019010281,0.010070085,0.03225334
"Acute intracerebral hemorrhage severity level 2, without heart failure","Stroke, long-term consequences, moderate","has some difficulty in moving around, and in using the hands for lifting and holding things, dressing and grooming.",0.070059835,0.046415625,0.099395025
"Acute intracerebral hemorrhage severity level 2, with asymptomatic heart failure","Stroke, long-term consequences, moderate and Generic uncomplicated disease: worry and daily medication",(combined DW),0.115506997,0.076176284,0.163822522
"Acute intracerebral hemorrhage severity level 2, with mild heart failure","Stroke, long-term consequences, moderate; Heart failure, mild",(combined DW),0.108495389,0.07351929,0.154020471
"Acute intracerebral hemorrhage severity level 2, with moderate heart failure","Stroke, long-term consequences, moderate; Heart failure, moderate",(combined DW),0.136512897,0.091287636,0.19065365
"Acute intracerebral hemorrhage severity level 2, with severe heart failure","Stroke, long-term consequences, moderate; Heart failure, severe",(combined DW),0.236222262,0.165268247,0.319384083
"Acute intracerebral hemorrhage severity level 3, without heart failure","Stroke, long-term consequences, moderate plus cognition problems","has some difficulty in moving around, in using the hands for lifting and holding things, dressing and grooming, and in speaking. The person is often forgetful and confused.",0.316344303,0.205675055,0.437349273
"Acute intracerebral hemorrhage severity level 3, with asymptomatic heart failure","Stroke, long-term consequences, moderate plus cognition problems and Generic uncomplicated disease: worry and daily medication",(combined DW),0.349592098,0.240566178,0.470131326
"Acute intracerebral hemorrhage severity level 3, with mild heart failure","Stroke, long-term consequences, moderate plus cognition problems; Heart failure, mild",(combined DW),0.34449131,0.237496538,0.46443069
"Acute intracerebral hemorrhage severity level 3, with moderate heart failure","Stroke, long-term consequences, moderate plus cognition problems; Heart failure, moderate",(combined DW),0.364816373,0.253180126,0.486668306
"Acute intracerebral hemorrhage severity level 3, with severe heart failure","Stroke, long-term consequences, moderate plus cognition problems; Heart failure, severe",(combined DW),0.437017027,0.308249007,0.575263106
"Acute intracerebral hemorrhage severity level 4, without heart failure","Stroke, long-term consequences, severe","is confined to bed or a wheelchair, has difficulty speaking and depends on others for feeding, toileting and dressing.",0.552001393,0.376783112,0.70691959
"Acute intracerebral hemorrhage severity level 4, with asymptomatic heart failure","Stroke, long-term consequences, severe and Generic uncomplicated disease: worry and daily medication",(combined DW),0.573753266,0.40780612,0.721438062
"Acute intracerebral hemorrhage severity level 4, with mild heart failure","Stroke, long-term consequences, severe; Heart failure, mild",(combined DW),0.570452212,0.403498752,0.720403291
"Acute intracerebral hemorrhage severity level 4, with moderate heart failure","Stroke, long-term consequences, severe; Heart failure, moderate",(combined DW),0.583555824,0.417199501,0.732366168
"Acute intracerebral hemorrhage severity level 4, with severe heart failure","Stroke, long-term consequences, severe; Heart failure, severe",(combined DW),0.629891661,0.45832308,0.77673933
"Acute intracerebral hemorrhage severity level 5, without heart failure","Stroke, long-term consequences, severe plus cognition problems","is confined to bed or a wheelchair, depends on others for feeding, toileting and dressing, and has difficulty speaking, thinking clearly and remembering things.",0.587545834,0.410997978,0.744434173
"Acute intracerebral hemorrhage severity level 5, with asymptomatic heart failure","Stroke, long-term consequences, severe plus cognition problems and Generic uncomplicated disease: worry and daily medication",(combined DW),0.607570014,0.438287866,0.759340487
"Acute intracerebral hemorrhage severity level 5, with mild heart failure","Stroke, long-term consequences, severe plus cognition problems; Heart failure, mild",(combined DW),0.604535788,0.436258183,0.758091554
"Acute intracerebral hemorrhage severity level 5, with moderate heart failure","Stroke, long-term consequences, severe plus cognition problems; Heart failure, moderate",(combined DW),0.616569518,0.447985946,0.768193527
"Acute intracerebral hemorrhage severity level 5, with severe heart failure","Stroke, long-term consequences, severe plus cognition problems; Heart failure, severe",(combined DW),0.65906097,0.488540454,0.808053423
Asymptomatic chronic intracerebral hemorrhage,Asymptomatic,,0,0,0
Chronic intracerebral hemorrhage severity level 1,"Stroke, long-term consequences, mild","has some difficulty in moving around and some weakness in one hand, but is able to walk without help.",0.019010281,0.010070085,0.03225334
Acute subarachnoid hemorrhage severity level 1,"Stroke, long-term consequences, mild","has some difficulty in moving around and some weakness in one hand, but is able to walk without help.",0.019010281,0.010070085,0.03225334
"Acute subarachnoid hemorrhage severity level 2, without heart failure","Stroke, long-term consequences, moderate","has some difficulty in moving around, and in using the hands for lifting and holding things, dressing and grooming.",0.070059835,0.046415625,0.099395025
"Acute subarachnoid hemorrhage severity level 2, with asymptomatic heart failure","Stroke, long-term consequences, moderate and Generic uncomplicated disease: worry and daily medication",(combined DW),0.115506997,0.076176284,0.163822522
"Acute subarachnoid hemorrhage severity level 2, with mild heart failure","Stroke, long-term consequences, moderate; Heart failure, mild",(combined DW),0.108495389,0.07351929,0.154020471
"Acute subarachnoid hemorrhage severity level 2, with moderate heart failure","Stroke, long-term consequences, moderate; Heart failure, moderate",(combined DW),0.136512897,0.091287636,0.19065365
"Acute subarachnoid hemorrhage severity level 2, with severe heart failure","Stroke, long-term consequences, moderate; Heart failure, severe",(combined DW),0.236222262,0.165268247,0.319384083
"Acute subarachnoid hemorrhage severity level 3, without heart failure","Stroke, long-term consequences, moderate plus cognition problems","has some difficulty in moving around, in using the hands for lifting and holding things, dressing and grooming, and in speaking. The person is often forgetful and confused.",0.316344303,0.205675055,0.437349273
"Acute subarachnoid hemorrhage severity level 3, with asymptomatic heart failure","Stroke, long-term consequences, moderate plus cognition problems and Generic uncomplicated disease: worry and daily medication",(combined DW),0.349592098,0.240566178,0.470131326
"Acute subarachnoid hemorrhage severity level 3, with mild heart failure","Stroke, long-term consequences, moderate plus cognition problems; Heart failure, mild",(combined DW),0.34449131,0.237496538,0.46443069
"Acute subarachnoid hemorrhage severity level 3, with moderate heart failure","Stroke, long-term consequences, moderate plus cognition problems; Heart failure, moderate",(combined DW),0.364816373,0.253180126,0.486668306
"Acute subarachnoid hemorrhage severity level 3, with severe heart failure","Stroke, long-term consequences, moderate plus cognition problems; Heart failure, severe",(combined DW),0.437017027,0.308249007,0.575263106
"Acute subarachnoid hemorrhage severity level 4, without heart failure","Stroke, long-term consequences, severe","is confined to bed or a wheelchair, has difficulty speaking and depends on others for feeding, toileting and dressing.",0.552001393,0.376783112,0.70691959
"Acute subarachnoid hemorrhage severity level 4, with asymptomatic heart failure","Stroke, long-term consequences, severe and Generic uncomplicated disease: worry and daily medication",(combined DW),0.573753266,0.40780612,0.721438062
"Acute subarachnoid hemorrhage severity level 4, with mild heart failure","Stroke, long-term consequences, severe; Heart failure, mild",(combined DW),0.570452212,0.403498752,0.720403291
"Acute subarachnoid hemorrhage severity level 4, with moderate heart failure","Stroke, long-term consequences, severe; Heart failure, moderate",(combined DW),0.583555824,0.417199501,0.732366168
"Acute subarachnoid hemorrhage severity level 4, with severe heart failure","Stroke, long-term consequences, severe; Heart failure, severe",(combined DW),0.629891661,0.45832308,0.77673933
"Acute subarachnoid hemorrhage severity level 5, without heart failure","Stroke, long-term consequences, severe plus cognition problems","is confined to bed or a wheelchair, depends on others for feeding, toileting and dressing, and has difficulty speaking, thinking clearly and remembering things.",0.587545834,0.410997978,0.744434173
"Acute subarachnoid hemorrhage severity level 5, with asymptomatic heart failure","Stroke, long-term consequences, severe plus cognition problems and Generic uncomplicated disease: worry and daily medication",(combined DW),0.607570014,0.438287866,0.759340487
"Acute subarachnoid hemorrhage severity level 5, with mild heart failure","Stroke, long-term consequences, severe plus cognition problems; Heart failure, mild",(combined DW),0.604535788,0.436258183,0.758091554
"Acute subarachnoid hemorrhage severity level 5, with moderate heart failure","Stroke, long-term consequences, severe plus cognition problems; Heart failure, moderate",(combined DW),0.616569518,0.447985946,0.768193527
"Acute subarachnoid hemorrhage severity level 5, with severe heart failure","Stroke, long-term consequences, severe plus cognition problems; Heart failure, severe",(combined DW),0.65906097,0.488540454,0.808053423
Asymptomatic chronic subarachnoid hemorrhage,Asymptomatic,,0,0,0
Chronic subarachnoid hemorrhage severity level 1,"Stroke, long-term consequences, mild","has some difficulty in moving around and some weakness in one hand, but is able to walk without help.",0.019010281,0.010070085,0.03225334
Mild heart failure due to hypertensive heart disease,"Heart failure, mild","is short of breath and easily tires with moderate physical activity, such as walking uphill or more than a quarter-mile on level ground. The person feels comfortable at rest or during activities requiring less effort.",0.041451894,0.026103223,0.062339545
Moderate heart failure due to hypertensive heart disease,"Heart failure, moderate","is short of breath and easily tires with minimal physical activity, such as walking only a short distance. The person feels comfortable at rest but avoids moderate activity.",0.071653433,0.046600778,0.10308943
Severe heart failure due to hypertensive heart disease,"Heart failure, severe","is short of breath and feels tired when at rest. The person avoids any physical activity, for fear of worsening the breathing problems. ",0.179066696,0.1215548,0.250729157
"Controlled, medically managed heart failure due to hypertensive heart disease",Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,0.049011415,0.031121342,0.072092547
Mild heart failure due to calcific aortic valve disease,"Heart failure, mild","is short of breath and easily tires with moderate physical activity, such as walking uphill or more than a quarter-mile on level ground. The person feels comfortable at rest or during activities requiring less effort.",0.041451894,0.026103223,0.062339545
Moderate heart failure due to calcific aortic valve disease,"Heart failure, moderate","is short of breath and easily tires with minimal physical activity, such as walking only a short distance. The person feels comfortable at rest but avoids moderate activity.",0.071653433,0.046600778,0.10308943
Severe heart failure due to calcific aortic valve disease,"Heart failure, severe","is short of breath and feels tired when at rest. The person avoids any physical activity, for fear of worsening the breathing problems. ",0.179066696,0.1215548,0.250729157
"Controlled, medically managed heart failure due to calcific aortic valve disease",Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,0.049011415,0.031121342,0.072092547
Calcific aortic valve disease after valve intervention,Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,0.049011415,0.031121342,0.072092547
Asymptomatic calcific aortic valve disease,Asymptomatic,,0,0,0
Mild heart failure due to degenerative mitral valve disease,"Heart failure, mild","is short of breath and easily tires with moderate physical activity, such as walking uphill or more than a quarter-mile on level ground. The person feels comfortable at rest or during activities requiring less effort.",0.041451894,0.026103223,0.062339545
Moderate heart failure due to degenerative mitral valve disease,"Heart failure, moderate","is short of breath and easily tires with minimal physical activity, such as walking only a short distance. The person feels comfortable at rest but avoids moderate activity.",0.071653433,0.046600778,0.10308943
Severe heart failure due to degenerative mitral valve disease,"Heart failure, severe","is short of breath and feels tired when at rest. The person avoids any physical activity, for fear of worsening the breathing problems. ",0.179066696,0.1215548,0.250729157
"Controlled, medically managed heart failure due to degenerative mitral valve disease",Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,0.049011415,0.031121342,0.072092547
